dmu_id,season,mode,n_kg_ha,total_crop_protection_kg_ha,mach_ratio_soil,yield_kg_ha,cluster_hcpc_full,PC1,PC2,PC3,PC4
C1_2022,2022,Conventional,124.4,4.66,5.0,4451.4294152392185,3,-0.9632289844092408,-0.0014553346114191464,0.4901688140306714,0.15363134677064835
C1_2023,2023,Conventional,129.0,4.39,5.0,4602.626657469151,3,-0.9098472622145292,-0.17970352236595827,0.591877940638698,0.044253082463326356
C1_2024,2024,Conventional,129.0,7.5395,6.699999999999996,6410.560801616426,3,-2.3612557951927466,-0.9059158630918249,-0.5901346545711518,0.4000140562951742
C2_2022,2022,Conventional,101.4,5.340000000000001,4.0,7022.061548924594,3,-0.2264681068108749,-0.4584965802398817,-0.873359758235747,0.9291414310450431
C2_2023,2023,Conventional,78.37,1.64,5.0,9772.703853744675,2,1.1101992929854754,-0.8535540748396238,-2.3186965774448254,-0.5964589773389997
C2_2024,2024,Conventional,130.51,2.24,5.0,7390.000000000001,2,0.07982545016114508,-1.2979844978311095,-0.11122413892317944,-0.653508306080707
C3_2022,2022,Conventional,95.2,7.48,5.0,4331.970319280843,3,-1.5495682512899578,0.7752789862314474,-0.5245874251381847,1.2256199673512598
C3_2023,2023,Conventional,109.8,1.6,5.0,5571.412716914846,2,0.2869430409227238,-0.009042098546092113,-0.03986203092785417,-0.7920072861724144
C3_2024,2024,Conventional,114.4,2.49,5.0,5701.3151741875145,2,-0.026368341945497458,-0.19843670352653392,-0.02654994690928026,-0.5141104181042707
C4_2022,2022,Conventional,102.79,3.5799999999999996,5.0,3619.999999999998,3,-0.4911371592897074,0.9241630966932459,0.24567487837047544,-0.11816757350254994
C4_2023,2023,Conventional,144.816,1.46,5.0,6154.434389140272,3,0.024596841874575785,-1.1712746403874856,0.7647370465727757,-0.9903790854947797
C4_2024,2024,Conventional,116.0,1.32,6.0,8404.337503191218,2,0.24625755414829983,-1.2725308769592385,-0.9707213100966454,-1.3057028723070494
C5_2022,2022,Conventional,80.24000000000001,1.41,5.0,5923.909774436091,2,0.7054385783505829,0.6395709844833258,-0.9732941020922944,-0.7192472238578081
C5_2023,2023,Conventional,112.97,4.15,5.0,6117.981548154815,3,-0.48270102569895623,-0.3551399486328139,-0.341305590533068,0.050880918668219734
C5_2024,2024,Conventional,93.58,6.4399999999999995,6.0,7589.690767851807,3,-1.2173714013464443,-0.4371622013958919,-1.7537155755281624,0.4973301287928114
C6_2022,2022,Conventional,118.0,2.3200000000000003,4.0,2150.0,3,-0.03479110646411992,1.0992384519071143,1.4550631356341557,-0.20176489831313668
C6_2023,2023,Conventional,134.5,4.76,4.0,2880.0,3,-0.891076806391044,0.3270600720334094,1.4773297614061798,0.5462892931235761
C6_2024,2024,Conventional,127.6,3.31,4.0,7249.999999999999,2,0.1569123223447284,-1.2121926639162668,-0.0439868486748637,0.13557704986786723
C7_2023,2023,Conventional,112.23,5.12,5.0,6650.458076613982,3,-0.7160693450834065,-0.5648107974091361,-0.6181869931007121,0.38341731032156323
C7_2024,2024,Conventional,140.41,3.67,6.699999999999996,4311.488729254397,3,-1.5180360019994672,-0.3045226874796389,0.7442714835111839,-0.9642816605408444
C8_2022,2022,Conventional,119.0,7.5395,4.0,5617.015939990624,3,-1.2725120041011528,-0.4021449926744954,-0.09370191090576635,1.5710829838539997
C8_2023,2023,Conventional,76.80000000000001,7.26,5.0,4188.081952158132,3,-1.300262995374074,1.3260111145681774,-0.9770021922595616,1.233382717520261
C8_2024,2024,Conventional,136.0,2.44,5.000000000000001,4313.353174603175,3,-0.40708235873723103,-0.21719460707633143,1.0451816508981098,-0.6413869194844656
D1_2022,2022,DrySeeding,79.44,3.28,5.0,1360.0,3,-0.41484888679358495,2.454073222817915,0.36081268271600575,-0.13554240280683738
D1_2023,2023,DrySeeding,47.0,1.21,5.0,4900.0,2,1.0031367181341797,1.9366146787622707,-1.5539874156330837,-0.6467285437117611
D1_2024,2024,DrySeeding,136.0,2.28,5.0,4989.018282988873,3,-0.2766406832667381,-0.48465288403211015,0.8347243844287623,-0.6882391883586261
D2_2022,2022,DrySeeding,143.92,2.47,5.0,1229.9999999999995,3,-0.8674765710491482,0.8045165297629295,2.2862227026893627,-0.6970331312883623
D2_2023,2023,DrySeeding,81.8,1.36,5.0,4840.0,2,0.575728905817268,1.0323301806414438,-0.5665138400230926,-0.7535344034707083
D2_2024,2024,DrySeeding,106.0,1.22,5.0,6770.000000000001,2,0.5892806735009328,-0.38078033532586714,-0.5122939322461075,-0.8901745587700077
NT1_2024,2024,NoTill,144.816,1.35,0.0,7110.0,1,2.1646261493089796,-1.6988154756047678,1.4119607004797279,1.0820014422308903
NT1_2023,2023,NoTill,89.6,0.12,0.0,6490.000000000001,1,3.069298391074507,0.03877493396271779,0.16349790806836534,0.9131225500974697
NT2_2022,2022,NoTill,65.45,1.05,2.0,4070.000000000001,1,1.9522084525277867,1.6920216624155717,-0.17391498061432392,0.46872576667387356
NT2_2023,2023,NoTill,129.5,2.88,1.0,7306.000000000001,1,1.4734105637546449,-1.3662281587649925,0.5990223904321746,1.2438322659566012
NT2_2024,2024,NoTill,91.0,0.0,1.0,4766.000000000001,1,2.488880152552091,0.7223850304319097,0.5924937439812472,0.4299651385707392
