dmu_id,season,mode,n_kg_ha,total_crop_protection_kg_ha,mach_ratio_soil,yield_kg_ha,dea_theta_hcpc,efficient_hcpc,cluster_hcpc_full
C1_2022,2022,Conventional,124.4,4.66,5.0,4451.4294152392185,0.5071195,False,3
C1_2023,2023,Conventional,129.0,4.39,5.0,4602.626657469151,0.49665035,False,3
C1_2024,2024,Conventional,129.0,7.65,8.0,6410.560801616426,0.4927957,False,3
C2_2022,2022,Conventional,101.4,5.340000000000001,4.0,7022.061548924594,0.73080871,False,3
C2_2023,2023,Conventional,78.37,1.64,5.0,9772.703853744675,1.0,True,2
C2_2024,2024,Conventional,130.51,2.24,5.0,7390.000000000001,0.58569367,False,2
C3_2022,2022,Conventional,95.2,7.48,5.0,4331.970319280843,0.61730846,False,3
C3_2023,2023,Conventional,109.8,1.6,5.0,5571.412716914846,0.58866085,False,2
C3_2024,2024,Conventional,114.4,2.49,5.0,5701.3151741875145,0.57590878,False,2
C4_2022,2022,Conventional,102.79,3.5799999999999996,5.0,3619.999999999998,0.58222256,False,3
C4_2023,2023,Conventional,146.48000000000002,1.46,5.0,6154.434389140272,0.48891655,False,3
C4_2024,2024,Conventional,116.0,1.32,6.0,8404.337503191218,0.76242524,False,2
C5_2022,2022,Conventional,80.24000000000001,1.41,5.0,5923.909774436091,0.76334561,False,2
C5_2023,2023,Conventional,112.97,4.15,5.0,6117.981548154815,0.60003262,False,3
C5_2024,2024,Conventional,93.58,6.4399999999999995,6.0,7589.690767851807,0.73011837,False,3
C6_2022,2022,Conventional,118.0,2.3200000000000003,4.0,2150.0,0.54523142,False,3
C6_2023,2023,Conventional,134.5,4.76,4.0,2880.0,0.49015317,False,3
C6_2024,2024,Conventional,127.6,3.31,4.0,7249.999999999999,0.61562447,False,2
C7_2023,2023,Conventional,112.23,5.12,5.0,6650.458076613982,0.6268115,False,3
C7_2024,2024,Conventional,140.41,3.67,10.000000000000002,4311.488729254397,0.38507256,False,3
C8_2022,2022,Conventional,119.0,9.52,4.0,5617.015939990624,0.58185578,False,3
C8_2023,2023,Conventional,76.80000000000001,7.26,5.0,4188.081952158132,0.72291957,False,3
C8_2024,2024,Conventional,136.0,2.44,5.000000000000001,4313.353174603175,0.46977618,False,3
D1_2022,2022,DrySeeding,79.44,3.28,5.0,1360.0,0.70559942,False,3
D1_2023,2023,DrySeeding,47.0,1.21,5.0,4900.0,1.0,True,2
D1_2024,2024,DrySeeding,136.0,2.28,5.0,4989.018282988873,0.48540815,False,3
D2_2022,2022,DrySeeding,143.92,2.47,5.0,1229.9999999999995,0.44512509,False,3
D2_2023,2023,DrySeeding,81.8,1.36,5.0,4840.0,0.71190233,False,2
D2_2024,2024,DrySeeding,106.0,1.22,5.0,6770.000000000001,0.68945998,False,2
NT1_2024,2024,NoTill,302.08000000000004,1.35,0.0,7110.0,1.0,True,1
NT1_2023,2023,NoTill,89.6,0.12,0.0,6490.000000000001,1.0,True,1
NT2_2022,2022,NoTill,65.45,1.05,2.0,4070.000000000001,1.0,True,1
NT2_2023,2023,NoTill,129.5,2.88,1.0,7306.000000000001,1.0,True,1
NT2_2024,2024,NoTill,91.0,0.0,1.0,4766.000000000001,1.0,True,1
